"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EDF1",482.162131222227,0.232858444900745,0.0845413543588074,2.75437324924386,0.00588046625141809,0.0846540694587149
"NPC2",319.409068068766,0.234169684229491,0.112971138551452,2.07282751357631,0.0381883349049219,0.282269545388084
"PLK1",116.286693245603,0.235867886716128,0.111835083569256,2.10906881086259,0.0349386425352972,0.266634086748316
"ALCAM",264.380201888867,0.236482807177932,0.092522110619759,2.55595992778216,0.0105895313065064,0.126670349808144
"PARVA",257.830354328847,0.236632220699436,0.0976446826015296,2.42340099219831,0.0153759438932523,0.160998240629939
"RPS25",1031.84509714759,0.236881332585943,0.0704280315862225,3.36345241022302,0.000769741063453451,0.0179258342573736
"CAST",342.034507309975,0.237304895988883,0.0881308321715338,2.69264331382919,0.00708880620100382,0.096648486749298
"CHMP3",129.927348000698,0.237348183016022,0.116364270146428,2.03969983842423,0.0413802310323228,0.296642282287365
"EIF4B",186.611813071218,0.238448583521675,0.112540627044354,2.11877781192475,0.0341092487401288,0.262521336422459
"SNU13",326.854670847811,0.241003763207286,0.0936570616418104,2.57325778731988,0.0100746136853969,0.123029587626752
"PIGT",185.155774611464,0.242129257338384,0.116217124878393,2.08342150601078,0.0372128196528674,0.277547483611193
"PRKCA",156.125687251987,0.242479816702869,0.119705886890459,2.02562984161973,0.0428027311178706,0.300769216884512
"TMSB10",4219.61118295884,0.242695010419172,0.0836907470366227,2.89990254613177,0.00373278695934673,0.0617933648450893
"CAPNS1",474.082162515481,0.245615032680423,0.11143543262575,2.20410175554581,0.027517188726066,0.230853158606874
"P4HB",1719.62207797487,0.246853285143629,0.0689040583083172,3.58256525383545,0.000340236588878208,0.00935797366736976
"HAX1",137.960165623275,0.247248010895426,0.11052958231725,2.23693970167875,0.0252902812812246,0.221337095017005
"PGK1",473.749100722382,0.247886907408269,0.108136886827709,2.29234366440768,0.0218858200678635,0.201069874412481
"UBE2I",203.675128553251,0.24870373572044,0.111377290911956,2.23298424377229,0.025549983430493,0.222500771198223
"ATP6AP2",266.401817407989,0.249139397294072,0.117268690929782,2.12451759560658,0.0336268863073043,0.259758525118678
"MYL12B",708.99407837205,0.249636776923521,0.111253774359917,2.24384995798812,0.0248420568111096,0.219269717720329
"APLP2",1278.45467240426,0.249787590447212,0.073808703379847,3.3842565850495,0.000713712716796794,0.0170381688338015
"PLEKHB2",272.073542284054,0.250166707708726,0.110464205401038,2.26468571244867,0.023531972864564,0.211019852388107
"NUCB1",243.556991890897,0.250244536398664,0.105546032683795,2.37095161263303,0.0177423536800472,0.175802841031622
"QSOX1",1373.46245235106,0.250584769067329,0.0653588728163151,3.83398241538794,0.000126085159079331,0.00427169610184935
"HNRNPUL1",152.652975618826,0.254364549035509,0.127410416877958,1.99641878009987,0.0458883583080029,0.312131704530673
"EIF3L",403.602591563165,0.255218367979265,0.0968880737904998,2.63415669229962,0.00843465529444519,0.108085955824984
"RPL41",2497.5693608463,0.256258982176535,0.0673496025176346,3.80490712041599,0.000141857410598124,0.00472832544327872
"LGALS3",274.700591950465,0.257527720582668,0.111121207915206,2.31753888761883,0.0204743948433086,0.192244773449016
"DYNC1H1",920.923024981772,0.259998218935297,0.0625443376744936,4.15702249959755,3.22422247577665e-05,0.00139897316264751
"HLA-B",401.702507738677,0.261310785309406,0.0970362284156394,2.69291984628794,0.00708292947059756,0.096648486749298
"CALR",2522.55859374977,0.261869844356537,0.0793326393105361,3.30090926801874,0.000963720426554342,0.0215114924093339
"LAPTM4A",252.322278070258,0.262193667034006,0.125906738451408,2.08244348363606,0.0373019800924906,0.278044777470608
"CTSD",524.883249312658,0.262890184937251,0.0808498609025579,3.2515848759974,0.00114763504397346,0.0244683706099583
"RPS19",1417.78339502972,0.263323886876098,0.0678455735929431,3.88122427051729,0.000103931941434617,0.00368258563833946
"IGF2R",209.109794357311,0.263539144514172,0.126347272250906,2.08583169085616,0.0369938716761048,0.276247715668305
"EZR",897.59233532771,0.263838338148352,0.0983643136062512,2.68225668919409,0.0073127325114457,0.0985068085365332
"SSR4",325.701140139736,0.263925496635866,0.0953242764659585,2.76871229890863,0.00562783068384051,0.0820681064108157
"CD151",379.954859652194,0.266355137937332,0.132918510512077,2.00389800420711,0.0450809873960927,0.309191064969541
