"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC17A5",42.6920093815156,-1.38144597108069,0.310369569255161,-4.45097106135743,8.54828619185851e-06,0.000444151710287909
"AL645608.2",5.21148492015792,-1.37374404501527,0.569382589437999,-2.41269064157933,0.0158352536932697,NA
"PCDH9",45.9187160067499,-1.37325227208136,0.33021972993115,-4.15860152380259,3.2020191406933e-05,0.00139423129203568
"ISOC1",5.80288854689981,-1.36167749625179,0.637225520748647,-2.13688474788646,0.0326073668332846,0.25567442312427
"SLC27A3",5.7531073351762,-1.35379182063394,0.632782278506111,-2.13942751973082,0.0324010601479121,0.254880095285675
"AKR1C3",18.9980676839262,-1.34602654566113,0.55684878512394,-2.41722094331505,0.0156395208148857,0.16259634616185
"MYORG",21.5965684990035,-1.34364514641114,0.64983427949282,-2.06767354202956,0.0386707314728937,0.284136818415808
"GPR137C",14.3017816967629,-1.34079006193117,0.573141982436079,-2.33936808508126,0.0193163917818417,0.185003360865669
"MMAA",10.4887722372824,-1.34034315573303,0.627518624825127,-2.13594163218111,0.0326841716299274,0.25567442312427
"NYNRIN",19.8999898612089,-1.32878912124465,0.318706537201007,-4.16931868707353,3.0551154916522e-05,0.00135410602759036
"SNHG30",20.9688040978967,-1.31814783810976,0.433900719584044,-3.03790194073287,0.00238231462363121,0.0437737037679398
"HIST1H3J",15.5074358778224,-1.30908594167702,0.315094870172461,-4.15457713088288,3.25889674979519e-05,0.00140907402825061
"AP002807.1",9.97038619552099,-1.30394606370967,0.506619625136679,-2.57381672365709,0.0100583538611098,0.123028292627581
"CLDN4",18.1658971280893,-1.30147932988758,0.601125127239819,-2.1650722468774,0.0303821529532047,0.244123264080136
"KHDC1",9.4827916649955,-1.28450064211372,0.469379011472988,-2.73659582281438,0.00620785124165067,0.0879053533855634
"MFSD6",8.06913077924863,-1.27635546227146,0.590688910944753,-2.16079130422483,0.0307114640982609,0.245397667330378
"GINS2",35.816417161876,-1.26040004143507,0.227038387721675,-5.55148428458798,2.83254183719166e-08,2.77993748878667e-06
"NFE2L3",16.4208319687257,-1.2603599840239,0.621903551648901,-2.02661647562908,0.0427016502967642,0.300711052146803
"MCM2",54.2995287362574,-1.24823544560059,0.189625576361955,-6.58263230914574,4.62191179967543e-11,6.80411444223648e-09
"ZNRF3",9.66910665821439,-1.23184484353474,0.566876310415648,-2.17303990465138,0.0297773140387717,0.242066148562376
"SNHG4",14.6267934891285,-1.23058425975476,0.412010738324827,-2.98677715235804,0.00281935154536205,0.0499213315807649
"POLE2",6.26780553197522,-1.22783828611106,0.565044625137918,-2.17299347960591,0.0297808080378998,0.242066148562376
"MYPN",16.6358570724777,-1.21510791132297,0.298106616238574,-4.0760850150019,4.58002797639318e-05,0.00187538496543305
"EEF1AKMT1",6.78165987087186,-1.21456649728045,0.564525064782213,-2.15148373925438,0.0314380379255363,0.249526814497549
"CORO1A",33.2401659141651,-1.20902800829975,0.547453644359087,-2.20845732009909,0.0272124098493464,0.229897675345463
"AATK",32.6836025510132,-1.20826256608536,0.362956334354723,-3.32894745654034,0.000871748488032438,0.0199261401164679
"HMGN5",10.5288039223009,-1.19592605113405,0.525896916684941,-2.27406933410587,0.022961818138454,0.207562750804183
"PTGIS",41.6092207499122,-1.1955571349416,0.234820174238091,-5.09137317021742,3.55479618589095e-07,2.7821904832106e-05
"ASTE1",9.1421553122468,-1.18495488028148,0.54169025752202,-2.18751373839009,0.0287050414063587,0.237277100288123
"AC009779.3",7.43210977743137,-1.18434918170189,0.561743666354753,-2.10834452195488,0.0350011994749722,0.266634086748316
"MRM3",19.1757334975406,-1.18358513871755,0.337656859750966,-3.5052897772919,0.000456110548450556,0.0118244508220955
"AC005833.1",6.97965695266094,-1.17659893901347,0.581766478274575,-2.02245915320366,0.0431289393381653,0.302000262658977
"WDR76",18.5822554509674,-1.16965983873532,0.3004668334312,-3.8928084853104,9.90903763652826e-05,0.00357245362721016
"SPRY2",21.0446067347015,-1.16719048384381,0.317102438242492,-3.68079946124932,0.000232503817326897,0.00704691716927552
"ADGRB2",25.8099512170565,-1.16708818255322,0.586015601569941,-1.9915650358567,0.0464188028423752,0.314110840039553
"PLXNA4",7.73499699152157,-1.16535066411948,0.495559867956437,-2.35158401531805,0.0186936675219834,0.181877177479817
"TMEM119",103.511852102452,-1.16171136691854,0.15767530742076,-7.36774442315489,1.7353906970189e-13,3.20296139691577e-11
"NHSL2",13.4884461170237,-1.15714208722328,0.341116940542575,-3.39221524847973,0.00069329952504757,0.0166472658771617
"MCM10",17.3385839899431,-1.15194335108375,0.313287054252293,-3.67695803400826,0.00023603185278316,0.00713635670297445
"FRMD6-AS1",9.41024254064151,-1.15008588053048,0.517405942846251,-2.22279217398212,0.0262298170505924,0.225334376310927
"IL1R1",52.3450748811128,-1.1392721440035,0.17577424184121,-6.48145104805906,9.08446436373942e-11,1.29124696921841e-08
"SNHG10",20.9653724960847,-1.13682270908074,0.350609033011854,-3.24242276165859,0.00118518068848487,0.024869863791038
"MAFB",8.20984013296881,-1.12671069634925,0.507570134099275,-2.21981283108528,0.0264314755660473,0.226038469467317
"TRHDE-AS1",7.41627887172066,-1.11873035903678,0.523692719585476,-2.13623431679994,0.0326603196224263,0.25567442312427
"KRTAP2-3",94.7783417605684,-1.11450441975295,0.289455228363461,-3.85035166251511,0.000117948349234469,0.00404794753777077
"ADGRA3",14.474156497922,-1.10401054869422,0.444275009979878,-2.48497107398461,0.0129561961797077,0.144079426221461
"KIAA1217",42.6293060279852,-1.0933667082619,0.246148381149415,-4.44190086953368,8.91676402791032e-06,0.000461358594013134
"LMOD1",24.0872071054974,-1.08820654930117,0.395049448690677,-2.75460844941778,0.0058762411819684,0.0846540694587149
"RGPD5",20.816578942183,-1.08202405582372,0.416509038637386,-2.59784051593111,0.00938120541196627,0.117535953520137
"HIST1H1A",7.34525794586733,-1.08097619993009,0.532330116362124,-2.03065009230991,0.0422905024185506,0.299502265228222
"AHRR",66.4894634101046,-1.08005271371137,0.18440163576823,-5.85706688127683,4.71113437129591e-09,5.39424885513381e-07
"MIPOL1",11.4401641721635,-1.07655666640992,0.506447246169659,-2.12570346576487,0.0335279581834827,0.259758525118678
"ARMCX4",13.1869514645623,-1.07482918961219,0.464133577404028,-2.31577554811674,0.0205705269748248,0.192562556071676
"Z97200.1",7.91937068431119,-1.06555571401843,0.450939486232116,-2.3629683062839,0.0181292199504142,0.178208214552323
"BRI3BP",60.3195480760586,-1.06055788488894,0.234578861302852,-4.52111447296913,6.15149098246264e-06,0.000342654673374473
"CDA",26.0602551359605,-1.03931202799004,0.322424106186748,-3.22343152403148,0.00126664578781051,0.0262807748524576
"VAMP1",69.4416167367366,-1.03885861625235,0.291313545798782,-3.5661184700622,0.000362307637078783,0.00980371168515587
"SLC4A4",40.9315126024762,-1.0346457038067,0.182292432485447,-5.67574687385501,1.38084839714077e-08,1.44708231178328e-06
"HAND2",11.8872549973261,-1.0329017018241,0.38028474255969,-2.71612711798968,0.00660505520688803,0.0923960550773499
"ACTC1",37.5947435018989,-1.03215119303713,0.19822900039342,-5.20686272436753,1.92060067109222e-07,1.66084950340744e-05
"KREMEN1",75.6396796941837,-1.03076634146052,0.384232251561185,-2.68266481346212,0.00730381530645454,0.0984939804575974
"FKBP5",22.4816320890039,-1.02917014574833,0.397631514923606,-2.58825094873594,0.00964646754813572,0.119169048651595
"TMEM200B",7.71829977091228,-1.02645532377982,0.500875258949392,-2.04932327049424,0.0404305146318971,0.292247736233015
"NR2C2AP",16.9508875921787,-1.02072217031629,0.328885793199756,-3.10357635209964,0.00191196893718405,0.0367133662689719
"TMEM198B",23.9795093568378,-1.01999399815303,0.359491340889225,-2.83732563802513,0.00454931872039861,0.0716648092948398
"AMER1",8.76948578328664,-1.01886774748349,0.42723496002919,-2.38479488526377,0.017088646261354,0.172223471611984
"ABHD17C",9.64171631952823,-1.0164927095193,0.458121814026486,-2.21882625624226,0.0264985470099329,0.226455447356482
"AC110597.2",11.6614258358711,-1.01388990269954,0.433276916753628,-2.34005058542287,0.0192811281605212,0.184829791343414
"ITGB8",15.2435105201972,-1.01369447203218,0.456075937476964,-2.22264405712783,0.0262398109241254,0.225334376310927
"MAN2A2",23.1309792417775,-1.0121083402764,0.28967818671799,-3.4939059504046,0.000476008677420338,0.0122376783887316
"CHAF1B",20.3504893134871,-1.01108068748953,0.30410485684571,-3.32477651944411,0.000884894344540869,0.0201893052852258
"DOCK2",10.6568742484841,-1.00844678247593,0.428650338116298,-2.35260932467134,0.0186422088434254,0.181519334297479
"LPCAT3",47.7468043857617,-1.00499459325578,0.438979895481745,-2.2893863787381,0.0220569128585457,0.202191092964252
"THAP7",31.1365588072131,-1.00298914918694,0.259600379094956,-3.86358892342014,0.000111733192380126,0.00388115914879956
"HMGCS1",250.179221752923,-1.00222426252781,0.309242431114326,-3.24090151185395,0.0011915234254651,0.0249312668008485
"UHRF1",48.984733418629,-1.00052269604249,0.200077885731832,-5.00066607752698,5.71325897315448e-07,4.15589179188402e-05
"AC138969.1",49.480522702989,1.0023867371452,0.247343863939863,4.05260401927296,5.06506916888885e-05,0.00203359238124934
"BEST1",19.7541437401071,1.00637437194563,0.370169528687846,2.71868507252059,0.00655419780620605,0.0918925284257869
"BORA",8.44841572627679,1.00812556522784,0.436930563341562,2.3072901046745,0.0210386527975547,0.195465049207034
"EPS8L2",23.8361150865968,1.01112993477137,0.288271688714626,3.50755892567839,0.000452238184795341,0.0117486920024773
"DLG1",67.4871069080556,1.02790626137384,0.202910177247523,5.06581914873559,4.06647850972815e-07,3.10407859575915e-05
"HIST2H2BF",23.5357979549163,1.02805263529462,0.439653452296277,2.33832494644402,0.0193703978657754,0.185254709983123
"RDH10",13.4545264791419,1.02965855184077,0.409404612292819,2.51501453800019,0.0119027475484427,0.136539310003749
"PIM3",34.07818815147,1.0346486625125,0.292454533055539,3.53781031089715,0.000403459792551213,0.0106834770764203
"TRAF4",17.9207175092845,1.03566692797279,0.313678968779629,3.30167792887762,0.000961083565972637,0.0214914274445165
"MARS",285.324546707218,1.03648776946438,0.0939205560952924,11.0357925097117,2.56777660668964e-28,1.27012502073296e-25
"KDM4A",30.2624871005632,1.04299105588247,0.281514334205657,3.704930545812,0.000211448663394018,0.00656978435057896
"CYBA",16.3458058208893,1.0439013139037,0.384109304095547,2.71771941677317,0.00657335550337379,0.0920567544221068
"RPLP0P6",8.96608979512386,1.04454147510399,0.517552089273263,2.01823448644698,0.0435668460782359,0.304377185651675
"XPOT",130.818575812733,1.04514052014049,0.134322314967397,7.78084058776215,7.20442308923247e-15,1.56298063020085e-12
"APCDD1L-DT",7.85843253550791,1.05215812846427,0.510574118668844,2.06073533693293,0.0393282964558132,0.28760125013163
"PSPH",32.3196663722675,1.05575340931085,0.245018341965604,4.30887500438256,1.64087067159782e-05,0.000802016076086113
"GADD45A",44.0232724357407,1.05575403690361,0.220876006531373,4.77984935296109,1.75426592967066e-06,0.00011663038971133
"PIM2",31.6409434274498,1.05589029966843,0.327281507353106,3.22624491743501,0.00125425977764752,0.0260675233788055
"E2F7",42.7341909668228,1.05634230066311,0.194402332941895,5.43379436181375,5.51681554327719e-08,5.12939406076434e-06
"AC022400.6",8.16894612467087,1.05756426430516,0.509319003328889,2.07642804881217,0.037854379319333,0.280697456365924
"FAS",26.856635407222,1.06200572267798,0.235402175660431,4.51145245237634,6.43852171526056e-06,0.000354129435460012
"SREBF2-AS1",12.6726383588138,1.06344765730096,0.473579824435259,2.24555101892087,0.0247327808532469,0.218773653813484
"HSPA4L",13.5999406160434,1.07137654959989,0.508976679033527,2.10496196335415,0.035294619181212,0.267598565784714
"SLFN5",127.386384681096,1.07141457812715,0.115384083616789,9.2856358047225,1.60744560583433e-20,5.52157565604092e-18
"MXI1",33.4518315943315,1.07198012611634,0.368934115990544,2.9056139826977,0.00366533323290634,0.0607580573165144
